SiteID,SiteName,Country,StateProvince,County,USGS_Quad,HUC,FeatureID,LandUnit,LandUnitDetail,ProclaimedNF,LCC,PublicInfo,InfoSource,InfoSourceDet,MagDev,AccessDescript,SiteDescription,AKA,GeorefSource,Datum,UTM_Zone,GPS_Unit,UTME,UTMN,LatDeg,LatMin,LatSec,LongDeg,LongMin,LongSec,LatitudeDD,LongitudeDD,ElevationM,EPE_M,Georef_Comments,SpringType1,SpringType2,LithoPrimary,LithoSecondary,GeoLayer,EmergenceEnvironment,EmergenceEnvNote,SourceGeo,SourceGeo2,ChannelDynamics,FlowForceMech,NearestSpringM,LoginAdded,LoginAddedDate,LoginChanged,LoginChangedDate,SurveyCount,AvgEOD,HighEOD,ImageHyperlink,SketchHyperlink,SiteHyperlink,ShortName,initialtimestamp,
10102,Santa Maria Spring,US,AZ,Coconino,Grand Canyon,15010002,,NPS,Grand Canyon NP,,15,1,Geonames,Imported from USGS Geonames,11,For Hermit&apos;s Rest parking area hike 4 km down the Hermit trail to a shade station.,"This site has a hillside emergence from the Supai, Base of Esplanade. There are multiple spring orifices, no other springs nearby. This site has been manipulated over many years to provide water for hikers on the Hermit trail. There are old pipes and a trough. Seepage emerges from a steep slope above the trail. Flow continues below the lower trail and over the cliffs below."," HERM008, GRCA_S0019",GPS,WGS84,12,Garmin Oregon 650,389939,3991299,36,3,36.144,-112,13,19.452,36.06004,-112.22207,1519,4,NPS Coordinates are 389952 3991310 (NAD 83) taken at the orifice with a garmin etrex vista.,hillslope,,sedimentary,sandstone,Esplanade,subaerial,,,,,,441,jeriledbetter,6/16/2012,bernops,11/19/2016,7,3.6,9,http://springsdata.org/uploaded_files/survey/old_images/463136985_SantaMaria.jpg,,,Santa Maria,4/25/2014 12:11,7
1087,Sheep Spring,US,AZ,Coconino,Mormon Mountain,15060202,,USFS,"Coconino NF, Mormon Lake RD",Coconino,3,1,Geonames,Imported from USGS Geonames,11,From Mormon Lake Rd (CR-90) turn onto NF-90H and travel SW for 2.9 mi. Turn onto NF-219B and continue for 1.6 mi. Turn onto NF-91 and head NW for 1 mile. Spring is 120 m due SW.,"This site was imported from the SSI geodatabase, a compilation from multiple sources. This spring emerges from a hillslope into a broad meadow. It has been extensively modified, with all flow captured in a constructed tank. Flow emerges from a broken pipe 400 m downslope of the site.",,Map,NAD83,12,,450937,3863873,34,54,58.032,-111,32,13.632,34.91612,-111.53712,2189,,,helocrene,,,,,,,,,,,482,jeriledbetter,1/9/2012,jeriledbetter,11/23/2016,4,5.8,9,http://springsdata.org/uploaded_files/survey/1410276175/1410276175_rep.jpg,,,Sheep,4/25/2014 12:11,30
1091,Snowslide Spring,US,AZ,Coconino,Humphreys Peak,15020016,,USFS,"Coconino NF, Peaks RD",Coconino,3,1,Geonames,Imported from USGS Geonames,11,Shultz Pass-Lockett Meadow Rd elevation 2633 meters (8639 ft). From Shultz Pass-Lockett Meadow Rd travel on foot west toward the Interior Valley and Inner Basin along old NF-552 to old NF-552C. Spring is located 3.5 miles from Shultz Pass-Lockett Meadow Rd. Spring elevation 3369 meters (11054 feet).,"Snowslide Spring is a relatively large rheocrenic helocrene. Flow emerges broadly across a rather steep (high-gradient cienega) slope at the base of a rhyolitic (?) wall, and seeps into a channel. Flow first emerges at a discrete point and accumulates over distance downstream.",,GPS,NAD83,12,Garmin Oregon 650,439031,3910035,35,19,54.12,-111,40,15.096,35.3317,-111.67086,3357,3,,helocrene,rheocrene,igneous,,,subaerial,,contact spring,seepage or filtration spring,runoff,gravity,937,jeriledbetter,1/9/2012,jeriledbetter,11/23/2016,4,6.8,9,http://springsdata.org/uploaded_files/survey/old_images/1091_Snowslide.jpg,,,Snowslide,4/25/2014 12:11,51
686,South Canyon Spring,US,AZ,Coconino,Little Park Lake,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,0,IR,Dr. Lawrence Stevens data,11,,This is a rheocrene spring at the base of a Coconino Sandstone overhang in a steep northeasterly facing valley. The source is protected by a padlocked steel door. Parts of the channel were dry.This site has been verified using a 1:24K Digital Raster. ,"DP-80, SOUT003",GPS,NAD83,12,Garmin map 60CX,406905,4021961,36,20,17.556,-112,2,14.46,36.33821,-112.03735,2577,,,rheocrene,,sedimentary,sandstone,Coconino,subaerial,,fracture spring,,mixed,gravity,448,jeriledbetter,7/13/2011,jeriledbetter,10/14/2013,2,5.5,9,http://springsdata.org/uploaded_files/survey/old_images/686_SouthCanyon.jpg,http://springsdata.org/uploaded_files/survey/old_images/686_SouthCanyonSketch.jpg,,South Canyon,4/25/2014 12:11,12
699,Squaw Spring,US,AZ,Coconino,Timp Point,15010002,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,IR,Dr. Lawrence Stevens data,11,Drive road to livestock trough. Walk up canyon; spring is inside fenced area.,This named spring is depicted on the DRG. Coordinates were provided by Larry Stevens.This hillslope spring was surveyed by Grand Canyon Trust in 2010.This site was confirmed with a 1:24K Digital Raster.,"PP-21, TAPE011",map,NAD83,12,,384721,4028484,36,23,40.56,-112,17,7.692,36.3946,-112.28547,2443,,Elevation from 10m DEM; coordinates from LES and DRG. Confirmed by GCT.,hillslope,,sedimentary,limestone,Kaibab Limestone,subaerial,,,,spring,gravity,605,,1/27/2011,jeriledbetter,10/14/2013,1,9,9,,http://springsdata.org/uploaded_files/survey/old_images/699_SquawSketch.jpg,,Squaw,4/25/2014 12:11,12
1113,T-Six Spring,US,AZ,Coconino,Mormon Mountain,15060202,,USFS,"Coconino NF, Mormon Lake RD",Coconino,3,1,Geonames,Imported from USGS Geonames,11,From exit 320 on I-17 travel SE onto Schnebly Hill Rd (NF-226) for 2.7 mi. Turn left onto NF-226B and continue to the right on NF-9468K for 0.8 miles. The site is located above a large fenced meadow.,"This spring has been heavily excavated and manipulated over time. The upper hillslope section has been excavated and diverted, forming a berm between it and the helocrene below. The helocrene has been fenced, but the fence is no longer effective. On the upper end, the fencing is below the berm. The trench circles around the fence line, with one channel returning to the meadow.",,GPS,WGS84,12,Garmin Oregon 550,445539,3862948,34,54,27.036,-111,35,46.14,34.90751,-111.59615,2090,3,averaged GPS reading,hillslope,helocrene,igneous,basalt,,subaerial,,contact spring,fracture spring,spring,gravity,2237,jeriledbetter,1/9/2012,jeriledbetter,9/18/2016,4,4.5,9,http://springsdata.org/uploaded_files/survey/old_images/1113_T-Six.jpg,,,T-Six,4/25/2014 12:11,22
793,Tappen Spring,US,AZ,Coconino,Bellemont,15060202,,DOD,Navajo Army Depot,,3,,IR,Dr. Lawrence Stevens data; Other DB from AZDWR,11,Go to northeast side of Camp Navajo in Tapan Spring Recreation Area.,"This site is an excavated, culvert source that seaps into three excavated ponds on the northeast side of Camp Navajo.  The spring lies in a Ponderosa Pine meadow used for recreation and hunting.","A-21-06 20CDA, FLWD_SiteID 351057111465501",GPS,NAD83,12,Garmin E-trex,428731,3893552,35,10,56.676,-111,46,57.9,35.18241,-111.78275,2233,4,,Helocrene,,sedimentary,limestone,Kaibab Limestone,subaerial,,seepage or filtration spring,,spring,gravity,1283,,1/3/2011,jeriledbetter,4/17/2016,2,5.5,9,http://springsdata.org/uploaded_files/survey/old_images/793_Tappen.jpg,http://springsdata.org/uploaded_files/survey/old_images/793_TappenSketch.jpg,,Tappen,4/25/2014 12:11,12
708,Tater Canyon Springs,US,AZ,Coconino,Dog Point,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,PUB,Brown & Moran 1979,12,,"Site was visited by LES et al in 2005 for Grand Canyon Wildlands Council, and was included in Brown and Moran study.","DP-95, TATE02",GPS,NAD83,12,,404274,4039357,36,29,41.1,-112,4,7.716,36.49475,-112.06881,2260,,Coordinates from Brown & Moran; Elevation from 10m DEM,hillslope,anthropogenic,sedimentary,shale,Hermit Shale,subaerial,,seepage or filtration spring,,spring,gravity,196,,12/13/2010,jeriledbetter,10/14/2013,1,9,9,,http://springsdata.org/uploaded_files/survey/old_images/708_TaterCanyonSketch.jpg,,Tater Canyon,4/25/2014 12:11,12
723,Tater Canyon Springs upper,US,AZ,Coconino,Dog Point,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,,11,"About 190 meters upslope and 85 meters higher than Tater Canyon spring (Brown and Moran), in a drainage to the northwest.",There are at least two sources in the area.,,map,NAD83,12,,404131,4039490,36,29,45.384,-112,4,13.548,36.49594,-112.07043,2345,,Elevation from DEM; coordinate from NHD,hanging garden,,sedimentary,sandstone,Coconino,subaerial,,contact spring,fracture spring,mixed,gravity,196,larrystevens,4/21/2011,jeriledbetter,6/17/2012,3,4.7,9,,http://springsdata.org/uploaded_files/survey/old_images/723_TaterCanyonupperSketch.jpg,,Tater Canyon Upper,4/25/2014 12:11,12
630,Tilton Springs,US,AZ,Coconino,Warm Springs Canyon,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,IR,Dr. Lawrence Stevens data,11,On West Side Rd go south of junction with 423 about .65 miles. Spring is east of the road about 450 meters. Look for small side canyon on east side. A small 2-tracker that looks like it isn't going anywhere leads to the spring. It's developed; there might be 2 springs.,This is a seeping hillslope spring emerging from Hermit Shale but likely derived from Coconino Sandstone.,,GPS,NAD83,12,Garmin E-trex,380223,4057863,36,39,31.788,-112,20,24.612,36.65883,-112.34017,2099,,,rheocrene,hillslope,sedimentary,shale,Hermit Shale,subaerial,,seepage or filtration spring,,runoff,gravity,2073,jeriledbetter,7/7/2011,jeriledbetter,6/20/2011,2,5.5,9,http://springsdata.org/uploaded_files/survey/old_images/630_Tilton.jpg,http://springsdata.org/uploaded_files/survey/old_images/630_TiltonSketch.jpg,,Tilton,4/25/2014 12:11,12
164127,Travertine Cleft Upper,US,AZ,Mohave,Bat Cave,15010005,,NPS,Grand Canyon NP,,3,1,IR,SSI,12,,"Sources are on a south-facing 25m wide travertine wall. There are three gushets, an alcove with an over hanging cliff and rounded wall. There is cave and a shallow 2x4m sandy water area. The site consists of travertine/reservoir and lake habitat.",,map,WGS84,12,,242457,3993685,36,3,13.212,-113,51,32.796,36.05367,-113.85911,354,,,gushet,,sedimentary,,Tert/Quat Colluvium and Travertine,subaerial,,seepage or filtration spring,,mixed,gravity,23,monicaswihart,6/24/2014,lancemurray,3/29/2016,1,9,9,,http://springsdata.org/uploaded_files/survey/2146221047/2146221047_skch.jpg,,Travertine Cleft Upper,6/24/2014 15:54,7
607,Typha Unnamed Spring,US,AZ,Coconino,Gunsight Point,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,Imported in 2010 from NHD Database,12,"From junction 22 (west side road) and 423 (377679X, 4059394Y). Turn west on 423 and go 1.7 mi to 235. Turn right on 235 and go west 7 mi to 267. Turn northwest at 368526X 4058167Y onto 267. On 267, go 2.8 mi. At 365063X and 4059998Y, turn southwest on 267C. Go 3.4 mi to the end of the road. Near the end of the road, a pack trail heads northeast and into the drainage, and passes by slide spring. Follow the drainage down the remains of a paleospring to a stand of Cottonwoods in the bottom of Slide Canyon, then up a drainage to the north to above the highest Cottonwood.",This small seep emerges from colluvium about 50 meters above the floor of Slide Canyon.,,map,NAD83,12,,360062,4058090,36,39,29.268,-112,33,56.592,36.65813,-112.56572,1408,,Coordinates were estimated from the DRG; elevations came from the 10m DEM. There was no GPS reading at the site.,hillslope,,sedimentary,shale,Hermit Shale,subaerial,,seepage or filtration spring,,,gravity,300,jeriledbetter,5/23/2011,jeriledbetter,5/23/2011,1,9,9,http://springsdata.org/uploaded_files/survey/old_images/607_TyphaUnnamed.jpg,http://springsdata.org/uploaded_files/survey/old_images/607_TyphaUnnamedSketch.jpg,,Typha Unnamed,4/25/2014 12:11,12
1121,Van Deren Spring,US,AZ,Coconino,Hutch Mountain,15060202,,USFS,"Coconino NF, Mormon Lake RD",Coconino,3,1,Geonames,Imported from USGS Geonames,11,Take Coconino County Rd 3 (Lake Mary Rd) south from Flagstaff for approximately 30.6 miles. The spring is west of CR-3 approximately 0.45 miles.,"This site was imported from the SSI geodatabase, a compilation from multiple sources. The spring discharges out of a basalt outcrop into a bermed stock tank. There is typically no flow beyond the stock tank. Previous surveyors reported Pinus Ponderosa revegetation /encroachment near the spring.  There is no path to the spring (a road berm blocks view).",,Map,NAD83,12,,459219,3854906,34,50,8.268,-111,26,45.672,34.83563,-111.44602,2282,,,Helocrene,,igneous,basalt,,subaerial,,contact spring,fracture spring,spring,gravity,591,jeriledbetter,1/9/2012,jeriledbetter,11/28/2016,4,5,9,http://springsdata.org/uploaded_files/survey/old_images/1121_VanDeren.jpg,http://springsdata.org/uploaded_files/survey/old_images/1121_VanDerenSketch.jpg,,Van Deren,4/25/2014 12:11,51
446,Viet Spring,US,AZ,Coconino,Humphreys Peak,15020015,,USFS,"Coconino NF, Peaks RD",Coconino,3,1,Geonames,Imported from USGS Geonames; Other DB from AZDWR,11,"From Highway 180, turn north up Snowbowl Road. Hike along signed trail (Viet Springs Trail) for .08 km, and go to upper west side of homestead site to colorful basalt cliffs. Two small caves are present here.",This fracture spring emerges from a basalt flow. There is much Indian art around the source.,"VietA-22-06 12BDC, FLWD_SiteID 351823111424301",GPS,NAD83,12,Garmin E-trex,435186,3907290,35,18,24.156,-111,42,46.584,35.30671,-111.71294,2620,7,GPS taken 8 m from base of cliff @ A,hillslope,cave,,,,,,,,,,82,jeriledbetter,5/3/2010,lancemurray,3/17/2016,4,3.8,9,http://springsdata.org/uploaded_files/survey/old_images/446_Veit.jpg,http://springsdata.org/uploaded_files/survey/old_images/446_VeitSketch.jpg,,Viet,4/25/2014 12:11,51
181940,Virgins Bower,US,AZ,Coconino,Gunsight Point,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,IR,SSI research,11,"From NF 237 park short of Willow Point at 36.70647, -112.50703 (WGS 84). Hike down a ridge to the creek bed at 36.70304, -112.51059. Then follow the creek downstream about 1.8 km.","Seepage emerges along a contact in the lower Toroweap Formation for about 100 m on the left side of Willow Canyon. It is not noted on any maps. A cottonwood and a stand of willows is about 50 m downstream. There is also an old crushed metal tank near the willows, indicating past use. The lower part of the source area is subject to occasional flooding.",,GPS,NAD83,12,Garmin Oregon 650,363730,4063583,36,42,29.376,-112,31,32.412,36.70816,-112.52567,1510,6,,hillslope,hanging garden,sedimentary,limestone,Toroweap,subaerial,,contact spring,,mixed,gravity,480,lancemurray,4/26/2016,lancemurray,4/26/2016,1,9,9,,,,Virgins Bower,4/26/2016 8:35,12
17947,VT Lake,US,AZ,Coconino,De Motte Park,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,IR,Glenn Rink data,11,Hwy 76 to UT Hill; east side of Hwy parking lot; south 10 meters VT Lake,"This is depicted on the DRG as a lake; however, the survey crew suspects that it is heavily influenced by groundwater after examination of the surrounding soils and water table. On 8/22/2015, the survey crew noted this site as a lacustrine/palustrine wetland near Hwy 69. The site is surrounded by spruce and aspen.",,GPS,NAD83,12,Toughbook,398953,4034143,36,26,49.956,-112,7,39.108,36.44721,-112.12753,2689,,NPS Coordinates were NAD27 12 398982E 4033980N.  Elevation was 8820 Feet,limnocrene,,sedimentary,limestone,Kaibab Limestone,subaqueous-lentic freshwater,,seepage or filtration spring,,spring,gravity,5020,margueritehendrie,6/19/2012,gghardwick,5/2/2016,6,4.2,9,http://springsdata.org/uploaded_files/survey/old_images/17947_VTLake.jpg,http://springsdata.org/uploaded_files/survey/old_images/17947_VTLakeSketch.jpg,,VT Lake,4/25/2014 12:11,12
135,Westwater Spring,US,AZ,Mohave,Milkweed Canyon SW,15010005,,Tribal,Hualapai Tribal Land,,15,1,USGS Quad,Added based on DRG layer; ID from AZ Dept of Water Resources GWIS,12,Approximately 1 ¼ miles west of Milkweed spring in a parallel drainage.,"West water spring is a series of several pools in the coarse basaltic gravels of West water Canyon at an elevation of 4800 feet. The exact source of the outflow is not determined, as it apparently lies under gravels in the streambed. The stream flow changes during the seasons, but continues to flow year round. Improvements to Buck and Doe Road have affected the west side of the canyon by constructing a steep embankment where filling has been placed to remove a dip in the road. The streambed itself has not been affected and is in its natural position, except in the lower portion below the main pools where construction activities disturbed the streambed.","S15, HUAL022",GPS,NAD83,12,,252957,3945036,35,37,5.772,-113,43,39.396,35.61827,-113.72761,1463,,,rheocrene,,igneous,basalt,,,,,,,,710,jeriledbetter,2/23/2009,,9/30/2013,23,2.4,9,http://springsdata.org/uploaded_files/survey/old_images/135_Westwater.jpg,http://springsdata.org/uploaded_files/survey/old_images/135_WestwaterSketch.jpg,,Westwater,4/25/2014 12:11,10
287,141 Mile Spring,US,AZ,Coconino,Fishtail Mesa,15010002,,NPS,Grand Canyon NP,,15,1,PUB,Brown & Moran 1979,12,"Colorado River mile 142, right site at 30 meters from river. This site is located left just down from 140 Mile Canyon, in the inner canyon, 140.5 Mile Left, at river mile 141 on the left of the river side. ","141 Mile Spring is the larget of seep zones emerging from Muav at the river.There were exotic plants found during the vegetation survey,This location was confirmed by a recreation grade GPS.Vegetation surveys were taken, and the field has been confirmed. ","GCNP-110, 140 Mile Spring, KP-46, COLO141",GPS,NAD27,12,Garmin,357385,4028673,36,23,40.02,-112,35,24.792,36.39445,-112.59022,585,,"Steve Monroe coordinates are 36 23' 38.00"" 112 35' 15.86""",,,sedimentary,shale,Bright Angel Shale,subaerial,mountainside,contact,seepage or filtration spring,spring,gravity,721,jeriledbetter,6/9/2009,margueritehendrie,2/6/2014,3,3.3,8,http://springsdata.org/uploaded_files/survey/old_images/287_141Mile.jpg,http://springsdata.org/uploaded_files/survey/old_images/287_141MileSketch.jpg,,141 Mile,4/25/2014 12:11,2
892,Ashurst Spring,US,AZ,Coconino,Ashurst Lake,15020015,,USFS,"Coconino NF, Mormon Lake RD",Coconino,3,1,USGS Quad,Added based on DRG; ID from AZ Dept. Water Resources GWIS,11,"From Ashurst Lake, travel east on NF-740 for 0.4 mi  and continue on Old NF-9118F for 0.75 mi. Springs should be located 90 m northwest of your location.",The spring discharges out of a hillslope and into a stream channel which flows into a stock tank.,"A-19-10 18CCA, FLWD_SiteID 350131111224901",GPS,NAD83,12,ipad,465246,3875896,35,1,30.468,-111,22,51.492,35.02513,-111.38097,2149,,,hillslope,,igneous,basalt,,subaerial,,contact spring,fracture spring,spring,gravity,1573,jeriledbetter,1/9/2012,lancemurray,3/16/2016,2,5,8,http://springsdata.org/uploaded_files/survey/old_images/892_Ashurst.jpg,http://springsdata.org/uploaded_files/survey/old_images/892_AshurstSketch.jpg,,Ashurst,4/25/2014 12:11,51
805,Babbitt Spring,US,AZ,Coconino,Lower Lake Mary,15020015,,USFS,"Coconino NF, Mormon Lake RD",Coconino,3,1,Geonames,; ID from AZDWR GWIS,11,"From the Crimson Rd exit of Lake Mary Rd (CR-3), head southeast on Crimson Rd to 132D, turn left and continue on 132D to 9420J, where you turn left and continue to the spring, where there is a sign and a short walk down to the spring.",The source of this rheocrenic hillslope is piped and outflows into a well defined channel of volcanic bedrock and boulders. The channel extends greater than 60 m from the springs. There are 2 small pools above the source. A dry drainage channel comes in upstream of the source and there are ruins of a historic cabin nearby. SSI was informed that archaeology at the site is monitored by the Arizona Site Stewards (volunteer site monitoring with Arizona State Parks).,"CONF005A-20-08 34CDB, FLWD_SiteID 350401111321601",GPS,NAD83,12,GPS 76CX,450898,3880597,35,4,0.912,-111,32,18.708,35.06692,-111.53853,2107,8,Map elevation: 6890 ft. Averaged over 15 minutes.,rheocrene,hillslope,sedimentary,limestone,Kaibab Limestone,subaerial,,,,mixed,gravity,4098,,2/16/2011,jeriledbetter,12/4/2016,4,5.5,8,http://springsdata.org/uploaded_files/survey/202663010/202663010_rep.jpg,http://springsdata.org/uploaded_files/survey/old_images/805_BabbittSketch.jpg,,Babbitt,4/25/2014 12:11,51
690,Bear Spring lower,US,AZ,Coconino,Kanabownits Spring,15010002,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,0,IR,Dr. Lawrence Stevens data,11,,"This is a rheocrene spring, reported by Larry Stevens.Spring discharges in a valley floor bottom creating a wet meadow which drains into a bermed stock tank.",,map,NAD83,12,,394594,4025563,36,22,9.84,-112,10,30,36.3694,-112.175,2658,,Elevation from 10m DEM; coordinates from LES,helocrene,,sedimentary,limestone,Kaibab Limestone,subaerial,,contact spring,fracture spring,mixed,gravity,155,,11/17/2010,margueritehendrie,9/18/2013,1,8,8,http://springsdata.org/uploaded_files/survey/old_images/690_BearLower.jpg,http://springsdata.org/uploaded_files/survey/old_images/690_BearLowerSketch.jpg,,Bear Lower,4/25/2014 12:11,12
662,Bitter Spring,US,AZ,Coconino,Jumpup Point,15010003,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,Imported in 2010 from NHD Database,12,Go down trail #8 to Sowats Canyon drainage.  Go up stream entrance to Bitter Spring.,This named exposure spring is in a side drainage in Sowats Canyon.  This spring was surveyed by Grand Canyon Trust in May 2009.,"SOWA009, NKRD_S0005",map,NAD83,12,,361044,4043448,36,31,34.752,-112,33,7.524,36.52632,-112.55209,1212,,"Elevation from 10m DEM, coordinates from NHD and DRG",exposure,,sedimentary,sandstone,Supai - Wescogame,subaerial,,,,runoff,gravity,543,,1/19/2011,jeriledbetter,5/25/2014,1,8,8,,http://springsdata.org/uploaded_files/survey/old_images/662_BitterSketch.jpg,,Bitter,4/25/2014 12:11,12
325,Burro Spring,US,AZ,Mohave,Azure Ridge,15010006,,NPS,Lake Mead NRA AZ,,3,1,NHD,; ID from AZDWR GWIS,12,"Western AZ Strip, southern Grand Wash near Lake Mead ",,"LM-2B-33-16 04DDD, FLWD_SiteID 361700114001401",GPS,NAD83,11,Garmin,769089,4019524,36,16,59.448,-114,0,14.472,36.28318,-114.00402,431,,UTM coordinates and elevation from Glenn Rink and converted to NAD 83 using NADCON,,,sedimentary,unconsolidated,,subaerial,canyon floor,contact,,mixed,gravity,2189,margueritehendrie,10/3/2011,,,15,1.7,8,http://springsdata.org/uploaded_files/survey/old_images/325_Burro.jpg,http://springsdata.org/uploaded_files/survey/old_images/325_BurroSketch.jpg,,Burro,4/25/2014 12:11,2
327,Cliff Spring,US,AZ,Coconino,Walhalla Plateau,15010001,,NPS,Grand Canyon NP,,15,1,NHD,Imported in 2010 from NHD Database,12,"Southern Kaibab Plateau, approximately 1 mile north of Cape Royal parking lot. Road sign identifies 1/4 mile trail to spring. In Clear Creek Canyon. .  Take  the Cliff Spring Trail from the parking area off the Cape Royal Road. Short walk to where the trail ends at the spring.","Every bird species in the North Rim occurs here, without a doubt.The site has been verified by Steve Rice with the National Park Service, and a hydrology survey was completed.","GCNP-6, CLIF001, 59001?, WALH002",GPS,NAD83,12,Garmin,414152,3998250,36,7,30.504,-111,57,14.436,36.12514,-111.95401,2346,,"lat/long coordinates and elev from USGS; 3 different coord from USGS, Rink, and AZ State.  NPS Coordinates were NAD83 12 414177E 3998217N.  Elevation was 7614 Feet. With the following note: Cliff face may interfere with GPS reading",hanging garden,,sedimentary,limestone,Toroweap,subaerial,canyon wall,contact,,spring,gravity,1112,jeriledbetter,6/9/2009,jeriledbetter,10/14/2013,21,2.4,8,http://springsdata.org/uploaded_files/survey/old_images/327_Cliff.jpg,http://springsdata.org/uploaded_files/survey/old_images/327_CliffSketch.jpg,,Cliff,4/25/2014 12:11,2
14285,Coyote Spring,US,AZ,Coconino,Coyote Buttes,14070007,,BLM,Bureau Of Land Management AZ,,15,1,IR,L Stevens; ID from AZDWR GWIS,11,BLM,The spring source is approximately 200 meters at bearing 288.5 MN from the pool in a scaped depression.,"Imported from GDBA-41-03 13CBC, FLWD_SiteID 365707112020301",map,NAD83,12,,407760,4090073,36,57,7.992,-112,2,9.672,36.95222,-112.03602,1608,,"Coordinates collected during survey were 36 57 5.168, -112 01 44.52762 and 1608 meters in elevation, but these coordinates did not seem to fit the description provided (were not in coyote wash)",hillslope,,,,,subaerial,,,,,gravity,3169,jeriledbetter,6/16/2012,margueritehendrie,3/18/2013,3,4,8,http://springsdata.org/uploaded_files/survey/old_images/14285_Coyote.jpg,http://springsdata.org/uploaded_files/survey/old_images/14285_CoyoteSketch.jpg,,Coyote ,4/25/2014 12:11,2
331,Crystal Spring,US,AZ,Coconino,Dog Point,15010001,,USFS,"Kaibab NF, North Kaibab RD",Kaibab,15,1,NHD,,11,"Central Kaibab Plateau, approximately 2.5 miles east of Kaibab Lodge and Hwy 67","The site is located on an east facing slope.The flow is captured by a pipe into a spring box.The site contains perennial Springs with riparian vegetation. It was surveyed in 2000 by Larry Stevens et al (Grand Canyon Wildlands Council), and in 2010 by Barb Phillips,Glenn Rink, and others.The site was verified with a 1:24K Digital Raster. ","KNF-3, DP-75, Crystal Spring-NR, CRYS012",GPS,NAD83,12,,401709,4027669,36,23,20.904,-112,5,45.492,36.38914,-112.09597,2682,,"Latitude/Longitude coordinates from Glenn Rink 36 23 24.9, -112 5 50.6; this is about 150m NE of DRG coordinates. Elevation from 10m DEM.",hillslope,,sedimentary,limestone,Kaibab Limestone,subaerial,,seepage or filtration spring,,spring,gravity,67,,12/6/2010,jeriledbetter,10/14/2013,7,3.7,8,http://springsdata.org/uploaded_files/survey/old_images/331_Crystal_579.jpg,http://springsdata.org/uploaded_files/survey/old_images/331_CrystalSketch_1291677445.jpg,,Crystal,4/25/2014 12:11,12
257,Diamond Creek Spring,US,AZ,Mohave,Robbers Roost Canyon,15010002,,Tribal,Hualapai Tribal Land,,15,1,Geonames,Imported from USGS Geonames,12,The site is located at the head of Diamond Creek canyon in a small side canyon. Spring can be accessed by hiking or helicopter.,"Riparian vegetation is abundant throughout this side canyon and mostly consists of cottonwood trees. Water emerges from approximately 30 feet above the creek bed and is surrounded by dense hanging gardens. Water is dispersed from three major discharges that combine into one flow at the base of the creek bed. The combined flow measurement of the major discharges is approximately 100 gallons per minute. The site is very isolated and remote and appears that wildlife only access the site on occasion. Springs emerge from base of dolomite band, (base of muav, in bright angel shale); a gushet spring pouring 20m down into a flooded, rocky stream channel.",S9,map,WGS84,12,,297337,3955881,35,43,33.852,-113,14,26.592,35.72607,-113.24072,1110,,Elevation from 10M DEM,hillslope,rheocrene,,,,,,,,,,1026,jeriledbetter,11/22/2010,margueritehendrie,9/23/2013,15,3.1,8,http://springsdata.org/uploaded_files/survey/old_images/257_Diamond_-1111896044.jpg,http://springsdata.org/uploaded_files/survey/old_images/257_DiamondSketch_1290458825.jpg,,Diamond Creek,4/25/2014 12:11,10
956,Dove Spring,US,AZ,Coconino,Jaycox Mountain,15020015,,USFS,"Coconino NF, Mogollon Rim RD",Coconino,3,1,Geonames,Imported from USGS Geonames,11,"From the intersection of County Rd 3 (Lake Mary Rd) and NF-124, travel east on NF-124 for 3.92 mi. Turn left and travel north on NF-9483L for 0.9 mi. Turn right on NF-124D for 0.3 mi. Spring is located immediately west of the road.",This site was imported from a compilation from multiple sources. Spring discharges from a basalt outcrop down a hillslope.,,,NAD83,12,,465877,3859056,34,52,23.88,-111,22,24.132,34.8733,-111.37337,2229,,,hillslope,,igneous,basalt,,subaerial,,contact spring,fracture spring,spring,gravity,3478,jeriledbetter,1/9/2012,cathymorin,9/9/2016,3,6.3,8,http://springsdata.org/uploaded_files/survey/old_images/956_Dove.jpg,,,Dove,4/25/2014 12:11,51
